OBJECTID,Agency (Primary),HQTA Type,Stop ID,Route ID,HQTA Details,Agency (Secondary),Agency (Primary) GTFS Feed,Agency (Secondary) GTFS Feed,Average Trips per Peak Hour,Metropolitan Planning Organization,Plan Name,x,y
15540,Santa Clara Valley Transportation Authority,major_stop_bus,63507,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,4, , ,-121.842095,37.3572160000001
15541,Santa Clara Valley Transportation Authority,major_stop_bus,63508,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,4, , ,-121.843811,37.3589640000001
15542,Santa Clara Valley Transportation Authority,major_stop_bus,63511,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,4, , ,-121.850465,37.365777
15543,Santa Clara Valley Transportation Authority,major_stop_bus,63566,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.850793,37.3657670000001
15544,Santa Clara Valley Transportation Authority,major_stop_bus,63569,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.843225,37.3580940000001
15545,Santa Clara Valley Transportation Authority,major_stop_bus,63573,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.833021001,37.347266
15546,Santa Clara Valley Transportation Authority,major_stop_bus,63574,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.67, , ,-121.833691,37.3454550000001
15547,Santa Clara Valley Transportation Authority,major_stop_bus,63582,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.33, , ,-121.821785001,37.300083
15548,Santa Clara Valley Transportation Authority,major_stop_bus,63582,42,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,3.33, , ,-121.821785001,37.300083
15549,Santa Clara Valley Transportation Authority,major_stop_bus,63583,70,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,0, , ,-121.832646,37.292699
15550,Santa Clara Valley Transportation Authority,major_stop_bus,63583,73,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,0, , ,-121.832646,37.292699
15551,Santa Clara Valley Transportation Authority,major_stop_bus,63585,72,intersection_2_bus_routes_same_operator,Santa Clara Valley Transportation Authority,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,aHR0cHM6Ly9hcGkuNTExLm9yZy90cmFuc2l0L2RhdGFmZWVkcz9vcGVyYXRvcl9pZD1TQw==,6.67, , ,-121.827721,37.287474
