OBJECTID,access_id,station_id,access_point_name,location_type,x,y
174,0,mtc:palo-alto-station,Palo Alto Station,2,-122.16401,37.44276
175,"geom:37.59978,-122.38683",mtc:millbrae-bart,Millbrae BART,2,-122.38683,37.59978
176,"geom:37.70880,-122.40166",bayshore,Bayshore,2,-122.40166,37.7088
177,"geom:37.70880,-122.40168",bayshore,Bayshore,2,-122.40168,37.7088
178,"geom:37.58024,-122.34540",burlingame,Burlingame,2,-122.3454,37.58024
179,"geom:37.55271,-122.30924",hayward_park,Hayward Park,2,-122.30924,37.55271
180,"geom:37.54248,-122.30168",hillsdale,Hillsdale,2,-122.30168,37.54248
181,"geom:37.54232,-122.30154",hillsdale,Hillsdale,2,-122.30154,37.54232
182,"geom:37.45430,-122.18141",menlo_park,Menlo Park,2,-122.18141,37.4543
183,"geom:37.77674,-122.39475",mtc:caltrain-4th-&-king,Caltrain 4th & King,2,-122.39475,37.77674
184,"geom:37.77673,-122.39511",mtc:caltrain-4th-&-king,Caltrain 4th & King,2,-122.39511,37.77673
185,"geom:37.77660,-122.39459",mtc:caltrain-4th-&-king,Caltrain 4th & King,2,-122.39459,37.7766
186,"geom:37.77649,-122.39473",mtc:caltrain-4th-&-king,Caltrain 4th & King,2,-122.39473,37.77649
187,"geom:37.77631,-122.39459",mtc:caltrain-4th-&-king,Caltrain 4th & King,2,-122.39459,37.77631
188,"geom:37.77687,-122.39494",mtc:caltrain-4th-&-king,Caltrain 4th & King,2,-122.39494,37.77687
189,"geom:37.75761,-122.39278",22nd_street,22nd Street,2,-122.39278,37.75761
190,"geom:37.75759,-122.39217",22nd_street,22nd Street,2,-122.39217,37.75759
191,"geom:37.65565,-122.40552",south_sf,South San Francisco Caltrain Station,2,-122.40552,37.65565
192,"geom:37.65474,-122.40579",south_sf,South San Francisco Caltrain Station,2,-122.40579,37.65474
193,"geom:37.65441,-122.40767",south_sf,South San Francisco Caltrain Station,2,-122.40767,37.65441
194,"geom:37.63102,-122.41205",san_bruno,San Bruno Caltrain Station,2,-122.41205,37.63102
195,"geom:37.63108,-122.41155",san_bruno,San Bruno Caltrain Station,2,-122.41155,37.63108
196,"geom:37.63117,-122.41193",san_bruno,San Bruno Caltrain Station,2,-122.41193,37.63117
197,"geom:37.63083,-122.41199",san_bruno,San Bruno Caltrain Station,2,-122.41199,37.63083
198,"geom:37.31264,-121.88479",tamien,Tamien Station,2,-121.88479,37.31264
199,"geom:37.31268,-121.88470",tamien,Tamien Station,2,-121.8847,37.31268
200,"geom:37.32992,-121.90244",mtc:san-jose-diridon-station,San Jose Diridon Station,2,-121.90244,37.32992
201,"geom:37.33009,-121.90265",mtc:san-jose-diridon-station,San Jose Diridon Station,2,-121.90265,37.33009
202,"geom:37.32905,-121.90367",mtc:san-jose-diridon-station,San Jose Diridon Station,2,-121.90367,37.32905
203,"geom:37.32967,-121.90254",mtc:san-jose-diridon-station,San Jose Diridon Station,2,-121.90254,37.32967
